position_bounds,energy_bandpassName
polygon 171.25176273592612 15.142507265348897 171.2457754781071 16.140445943927077 172.26761471008643 16.143566215888143 172.26970161472983 15.145904915560365,g.MP9401
polygon 171.25572276789958 15.175865959558521 171.2497289545945 16.173804607093842 172.2717405847925 16.176924899565392 172.2738222523258 15.179263588435063,g.MP9401
polygon 171.25811271448137 15.15086693815715 171.25212381442324 16.14880560895962 172.27400621132546 16.15192588606 172.27609180381666 15.154264583022737,g.MP9401
polygon 171.26046255040498 15.125867916524555 171.25447856023087 16.123806610572316 172.27623195100801 16.12692687230529 172.27832146687277 15.12926557737535,g.MP9401
polygon 171.26443272860496 15.159206611722368 171.25844218986177 16.15714527476537 172.2803676737335 16.160265556993124 172.28245195703516 15.16260425125445,g.MP9401
polygon 180.57902604798343 27.84303009023222 181.6891102761819 27.84615811682697 181.68908961239177 26.84849479277458 180.58780011857846 26.84510518940902,g.MP9401
polygon 180.58322454694027 27.876388512336902 181.6936504812447 27.87951656310007 181.69362270204735 26.881853239183798 180.59200837111695 26.878463660836466,g.MP9401
polygon 180.58585309755108 27.85138969490356 181.696022902052 27.854517727553564 181.69600045594987 26.856854403531514 180.5946296111556 26.853464806434097,g.MP9401
polygon 180.58848138020392 27.826410875979718 181.69839558878652 27.82953889053921 181.6983784667031 26.83187556643393 180.5972505964498 26.82848595060986,g.MP9401
polygon 180.5926904370879 27.85968930235194 181.7029452401437 27.862817341014562 181.7029210239884 26.865154017025134 180.60146937698403 26.861764426151858,g.MP9401
polygon 181.68873153524686 13.443942612704632 182.6979460676499 13.44706124779701 182.70044796629952 12.449400903066476 181.69420749800292 12.446001549304597,g.MP9401
polygon 181.6926610004555 13.477271309907422 182.70201607590315 13.48038996499514 182.70451293416733 12.482729607476827 181.69814307240418 12.479330274535386,g.MP9401
polygon 181.69500392474717 13.452272287137049 182.70425354669172 13.455390927226233 182.7067541858052 12.457730579297476 181.70048141388116 12.454331230738617,g.MP9401
