position_bounds,energy_bandpassName
polygon 181.68873153524686 13.443942612704632 182.6979460676499 13.44706124779701 182.70044796629952 12.449400903066476 181.69420749800292 12.446001549304597,g.MP9401
polygon 181.6887715352469 13.443942612704632 182.6979860676499 13.447061247796995 182.70048796629953 12.44940090306649 181.69424749800305 12.446001549304583,g.MP9401
polygon 181.6926610004555 13.477271309907422 182.70201607590315 13.48038996499514 182.70451293416733 12.482729607476827 181.69814307240418 12.479330274535386,g.MP9401
polygon 181.69500392474717 13.452272287137049 182.70425354669172 13.455390927226233 182.7067541858052 12.457730579297476 181.70048141388116 12.454331230738617,g.MP9401
polygon 181.69730667824723 13.427303262990407 182.7064511869765 13.430421888102146 182.7089556013118 12.432761549764962 181.70277959283283 12.4293621856105,g.MP9401
polygon 181.69735674156306 13.427273264162721 182.7065011241332 13.430391889256484 182.7090055430037 12.432731550930825 181.7028296506542 12.429332186757634,g.MP9401
polygon 181.70123634464017 13.460581962328604 182.71052099556522 13.463700607402942 182.71302037804583 12.466040256285112 181.7067153567941 12.462640912917138,g.MP9401
polygon 181.70128628115253 13.460611961155976 182.71057105857886 13.463730606248305 182.71307043652266 12.466070255118979 181.7067652988053 12.462670911769735,g.MP9401
polygon 181.71212215165644 12.493979597772437 182.71748984798458 12.497097665181727 182.72013463576312 11.499437695016411 181.71742600886157 11.496037750037118,g.MP9401
polygon 181.7121222102033 12.493949598936013 182.71748978987387 12.497067666327439 182.7201345821423 11.49940769617423 181.71742606203364 11.49600775117635,g.MP9401
polygon 181.71601705148095 12.527288305675825 182.72151446322113 12.530406392918678 182.72415426491577 11.532746409291946 181.72132687864888 11.529346484971995,g.MP9401
polygon 181.71605701233722 12.527308304899918 182.7215545020733 12.530426392154666 182.72419430077366 11.532766408519862 181.72136684309095 11.529366484212346,g.MP9401
polygon 181.71835583070484 12.502339273518928 182.7237560473632 12.505457345905512 182.72639958391142 11.507797372359462 181.72366118579455 11.504397432564716,g.MP9401
polygon 181.71835588929403 12.50230927468256 182.72375598921053 12.505427347051267 182.72639953024898 11.50776737351734 181.72366123900795 11.504367433703976,g.MP9401
polygon 181.72065466073133 12.477310244277575 182.72595758105896 12.480428301763055 182.7286048635044 11.48276833834339 181.7259555319867 11.479368383027037,g.MP9401
polygon 181.72069469970623 12.477290245053197 182.7259975423743 12.48040830252674 182.72864482781256 11.482748339115162 181.72599556737987 11.479348383786416,g.MP9401
polygon 181.72458959567274 12.510648951183953 182.7300221614599 12.513767028518316 182.73266445415808 11.516107051613275 181.72989643997437 11.512707116972294,g.MP9401
polygon 182.61898165220003 15.343867735181988 183.6368235708519 15.34698751935575 183.63903472204822 14.34932648447915 182.62481411669688 14.34592832679202,g.MP9401
polygon 182.62295000635672 15.377196409990773 183.6409546051612 15.380316214498563 183.6431605881021 14.382655168228837 182.6287888814184 14.379257031699552,g.MP9401
polygon 182.62530126551272 15.352197404023272 183.6431838048441 15.355317193278438 183.6453936646032 14.35765615555205 182.63113533164008 14.354258003152196,g.MP9401
polygon 182.62765241274096 15.327198397817625 183.6454131155989 15.330318171823734 183.64762685074314 14.332657142654739 182.6334816731136 14.329258974387926,g.MP9401
polygon 182.63161084190278 15.360537072440536 183.64953407548055 15.363656866783558 183.65174264209256 14.365995826205562 182.6374465119369 14.362597679099736,g.MP9401
